comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"ni baru betul otak bisnes, walaupun untung sedikit tapi ramai yang datang membeli,banyak la untungnya",@hambanya690,paksu Atip ,598,16,19h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
ramai yg pertikai rm5.. jika naikkan harga ke rm10 ttu ada pertikaian lain😂😂😂,@khairool_idlan,Khairool Idlan ,117,10,20h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
utk yg tak de duit nak mkn ada tempatnya...,@zahazaha66,zaha ,74,6,20h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Walaun okay ke tuh ?,@jazzgk5.modi,Jazzgk5_thai ,75,41,19h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"betul ,jnji tak rugi walaupun untung 3 ke 5 riggit..sokong.",@hafifisharifssahar,Hafifi/Albar/Fifi/P ,57,18,19h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
layak jadi MENTERI EKONOMI Malaysia. support Mydin.,@azalee7276,azalee7276 ,126,11,12h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
btol x rugi.. walau pun untung rm1.. bsyukur. 😁,@musang3kor9,kyuubi ,23,0,18h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
org yg paham nego lain pikirkan nye.untung sikit yg penting laku.lg laku lg banyak untung datang.lg banyak produktion boleh keluar.,@sahidan82_sulaiman,Sahidan82_Sulaiman ,7,0,18h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
lagi elok drp yg banyak formula tu,@yoolahkau,yoolahkau ,117,22,17h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"untung sikit tp kalau ramai beli, sikit tu jd byk",@cikfa_daira,Cikfa ,10,0,13h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Tgk mydin blh buat. Tak kesah sia giant o tdk. Yg pasti skrg dia buat! Mksdnya krajaan mmg hebat blh suruh mydin bkrjsama. Trbaik smoga murah rzeki,@sayangisterianak,Pejuang ,19,0,8h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"Fikir jugak... Mcm mne Peniaga nk untung Dari RM5, lepas tu nak bayar sewa kedai, bil air elektrik, gaji pekerja & lain2 🤔🤔",@kamisayangpn,KamiSayangPN ,6,7,14h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
masalah harga makanan disekolah2 pun mahai tu..harap2 kementerian bol3h pantau,@mark_7786,Mark7786 ,0,0,11m ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"see, x rugi, sbb harga ayam mentah n minyak msk pun dah turun",@gitusokmo,--%shim%-- ,0,0,27m ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
rm0.50× jumlah pembeli kau rasee tak untung,@anything_forever.me,MR.NOTHINGG ,0,1,42m ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
murahlah rezki team mydin..aminnn,@mizimahat,Mizi Mahat ,0,0,56m ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Pegi makan dekat Mydin rm5..lepas tu shoping sikit2...hah x ke untung besar mydin tu..,@ruinaj,RR ,0,0,59m ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Boss yg hebat dan org biz yg pintar… syabas!!!!,@othmanali275,othmanali275 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
yg penting x rugi,@rozlandafinka,CEO ABJAD ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Runcit dgn ladang lain. Peranan runcit sebagai middleman trader. Peladang ada risiko lain.,@chrysallis_,user6437666686037 ,1,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Semoga mydij terus maju dan barakah😘😘,@jejakagantengla,Jejaka jawa ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
mydin ni jarang la mengecewakan rakyat Malaysia,@jupiterjun0,juno ,1,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Bagi Datuk ni la jadi menteri ekonomi,@ariffrhim,AriffRhim ,1,0,1h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
26 hari kerja x 5.00 = rm130. Alhamdulillah jimat belanja.,@akmalbern,Akmal Bern ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
terbaik..krg mydin cuba usaha dan dia bgtau bnd betol..menu ni pon bdasarkan harga brg jugak...yg kerajaan ni bt ap..sbb tu kalau xda plan dan lngkh,@user5496495813217,pencari ketenangan ,0,1,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
rafizi kena belajar ngan mydin,@4mirul_f1tr1,rebbit ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Buka mydin di kota kinabalu please. Monopoli hypermarket sini hingga harga tidak competitive,@pemberaniii,pemberaniii ,2,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Ni lagi bagus dari pakar formula tu,@diginautspecial,Robom ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"nasi bajet kat KL PON dah naik 6.50rm,tahun lepas 5rm..mungkin sebab peniaga kecil,bajet x besar ..",@yol2287,YOL ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
ramai ckp staf mydin kerja tak ada bonus?? bos kaya raya😅😅,@hantu_black,AZZ ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
mcm ni la patutnya menteri ekomoni fkr jgn asyik bg formula je. formula pun xleh pakai,@finamizi14,FinaMizi14 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"4.90 tu jimat dah menu pun kenyang. nak harap kerajaan tukar 2,3 parti pun tara tu jugak",@grungeisdad,View replies (43) ᨆ⠀⠀        ༼ ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
patutnya dia layak jadi menteri ekonomi,@rosieelaros,Rosieela ros ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
maidin MMG terbaik,@reac883,Reac88 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Ingat menu 1 Malaysia..😁,@mzainimzain,mzaini mzain ,1,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
🥰,@kathtiktok1,kathtiktok1 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
mydin pn mahal😂,@azieazieana,azieazieana ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Semua peniaga peniaga kena beli dekat hypermarket Tapi harga dijual Di hypermarket tak turun Tapi suruh pembeli yang beli untuk berniaga kena turun,@trust17impossible,trust17impossible ,1,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Tapi Mydin masih lagi Mahal 😔😔😔😭,@user894335392,Haniff ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Tea tarik pun rm3 weyy.. Byk peniaga ambik untung.. 🥺🥺🥺🥺,@mkfunheart,🥳Bliss ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
makcik peniaga kecil tu beli harga runcit...bkn borong😅,@mdfadzly10,Md Fadzly ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Terbaik Dato'. Idea yang bagus. Undi tetap PN.,@smokedetector6,smoke detector ,1,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
so dulu unsung byk lah,@jccs68,Jimmy Chu ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Great contribution,@niezamxx_,NieZamXx_ ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Hahaha 3 bulan .Cuba buat 1 tahun 😅,@kesavansubramani35,777 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Ini baru fomula Bukan macam menteri fomula sampai PMX tidak yakin pada rafizi 😂,@fkj_andes,Andes ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
senior formula Pon tk pikir Bab ni,@juslimau2,JUSLIMAU2 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
mantap boss Mydin..baru berkat rezeki tu😁,@amyjoker10,Joker ,1,0,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
selama yang meniaga free tepi jalan ambil kesempatan 😁,@yol2287,YOL ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
kita perlu tengok..dia ada byk product yg boleh kaver..bagaimanabpula peniaga jalanan yg sedia ada ni?mcm mana yg jauh dri mydin?,@mohd_bc,Mohd Bc zain ,3,0,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
kalau dier takde untung die x kn join..die siap da buat kira2 tp tulah ade je mulut bebunyii macam2..smua x kene..,@mommysue1985,Surina ,1,2,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Jamal pak tongko dah rancang lama.. Depa ja baru perasan skrg. Hahahah,@8petakkosong,8petak.kosong ,1,1,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
👍👍👍,@atamjali,AtamJali ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"Patut jadi menteri, lebih bijak dari kabinet yg ade",@arissalias,Ariss Alias ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"Sy bukan pniaga tp di bandar ni hrga nasi+ ikan+sayur= rm8 tu kira ok dah sbb ikan & bhn mntah mmg mahal, pniaga mknan pun nk untung yg munasabah juga",@cermaimanis,shywnee ,2,0,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"betul , pasaraya besar ni sebenarnya kita tkde la jimay sangat , dia tau , kita pergi beli brg promosi , tali alang2 mesti beli brg lain juga 😂",@5ilv3rbull3t,Touch Me 🫥 ✓ ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
moga niat baik Kita semua dilimpahkan rezeki Dan support yg terbaik👍,@mr_ghazie,TDK7SHOP ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
saya sebelum ni undi PN.. lepas ni focus undi PH.,@zkenods,Keno ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
btl la to aku dlu time pkp jual air darkcoklat skli boba cold foam coklat syrup rm4 cup 22 onz,@nadiamarlia,Marlia Nadia ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"ini baru dipanggil solusi, bukan formula ye. hihihihihihi.",@rajamohdhisham,rajamohdhisham ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
masa ayam turun rm5..nasi sama je harga.. x turun2😅,@meceh1,meceh ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
🥰🥰🥰,@hassanbasrihjhashim,Hassan Basri Hj Hash ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"😂😂😂😂blh bertahanb ke.setahun tengok.selepas setahun...dulu kedai kat sini murah,tapi sekarang tak tahu g mana.",@user7137381350611,Neil0912 ,0,1,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Terbaik Dato,@15iqbalrahman,Mohamed Iqbal Abdul  ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"tak rugi ada untung sdkt.
alhamdulillah rezeki ada juga.",@user9441539665556,user9441539665556 ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Ni sebenarnya antara idea Rafizi hasil kolaborasi Menteri Ekonomi & KPDN. Walaun terduduk tak tu? 😂😂,@arusperubahan,Arus Perubahan ,4,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
"beli lah kat Mydin, sokong ekonomi semasa",@meziawa,meziawa ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
japgi ada la tu walaun pertikai perkataan rahmah pulak.,@yoeee_0007,matrock___ ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
betul.. ni baru formula,@mohdrizan2210,Encik Engineer ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
trbaik usahawan jutawaan islam,@tollfree8,user4668068398548 ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
setuju. x rugi tapi insyaallah ada barakah nanti,@chedet66,chedet66 ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
terbaik Mydin 👍👍👍bagus inisiatif kerajaan skrg ni..,@c1001011100011000110,2019fn2021nf2022 ,3,0,7h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
org belakang tu teringin sangat NK masok TV...ko tepi la cikit😂😂,@9319wisely,9319wisely ,2,1,7h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
lepas ni mmg aku mydin la 😂,@rotijohn24,rotijohn24 ,1,0,7h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
Menteri Ekonomi PN dulu apa pun tak ada tindakan utk pulih ekonomi. Piji ada formula,@paksuki74,Paksu Ki ,1,0,7h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
x akan mydin sahaja? abis tu nk lunch kene ke mydin sahaja ke?,@royomeyangat,Roy Omey Angat ,1,4,7h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
mydin lain..peniaga kecil lain,@insyaallah288,akif ,1,5,7h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
💚💚💚,@haza_kamis,haza_kamis ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@pokcikku/video/7194852489722678534,8956,765,179,2023-2-1
