comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
SAMPAI BILA PROGRAM NI ..ADA KAH UTK SELAMA LAMA NYA ..ATAU HANYA UTK SATU BULAN JERRR,@pencint4bunga,mentarimerah ,172,39,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Mula2 okay lepas tu portion kecik lama2 ckp harga tinggi kena ikut harga semasa,@bravoalphabravoindia,OpinionatedloudPerson ,49,4,10h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Hrp dpt trunkn hrga brang juge untk kami yg msak dirumah,@indahnyesyurga,ADIKMANIS ,42,3,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"Meniou, bila pergi kat kedai tu. Dia akan cakap, hanya hari tertentu sahaja untuk harga diberi.",@iqbalabdulsalam1,Iqbal Abdul Salam ,41,5,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"tempat aku mmg dah ada kedai rm5 free air..lauk pilihan sndiri..smpai skrang kekalkan nama kedai,kedai 1malaysia😌😌😌😌",@ohmyqueen_gaming,OhMyQueen ,45,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Menu ni dah lme la dekat mydin..,@guleperang,guleperang ,0,0,13m ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
pj mana boleh dapat,@raveekaruppiah,raveekaruppiah ,0,0,36m ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
kite tgk bolh thn smpai berapa bulan harga tu 😂😅..,@nurulanisha94,Nurul Anisha🐨 ,0,0,55m ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Yg baik sokong,@setia4671,setia4671 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
kt sine byk je menu mcm ne..di panggil nasi bajet air sirap lg😂😂😂,@ieyla2606,🅸🅴🆈🅻🅰_🅰🅸🅼🅰🆃🆄🅻#gstt ,2,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
tempat saya tak de mydin,@sivaguru3297,Siva Guru ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
😂Ade kedai nasi ayam rm2.50 kt area sy.,@zebbaismail,Zebba99 ,2,1,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
okayyy.tq,@carlloscarl,Carllos Carl ,1,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
26 hari kerja x 5.00 = rm130. Alhamdulillah jimat belanja.,@akmalbern,Akmal Bern ,3,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
🥰besar phala,@nyusof23,N Yusof ,1,1,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Kat Penang ada x,@wajee2021,snow. ice1989 ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
kat jb ade ke? kat mn?,@jecky121212,julie🐕 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"buat d klia, klcc blh tak",@100percentmore,user3968676241981 ,1,1,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
sabah ada ka?,@hatikinabalu,hati kinabalu ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
harap ada food panda untuk menu ni Pastu kasi Letak Minimum Diskaun dan Voucher Pestapanda 40%😁,@themomentofficial,The Moments Official ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Nasi bajet lah. Kan lama doh😂,@sabariahmansor65,sabariahmansor65 ,2,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Kat mna ni,@idkmybeyours,Cinta ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
shah alam katne eh?,@hyosofina,Sofina ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
kat Cyberjaya adeh tak?,@manzhakimie,manzhakimie ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"sesuai tuk aku ni yg jenis mkan ckit,janji kenyang udahh.",@bintanghati82,bintanghati82 ,1,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Mydin MITC ada tak,@amiersyafiq96,AmierLentok96 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
aku nak pi mydin pon abis minyak keta 10hengget,@zamanikubangrotan,Zamani@73 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
cm mne nk mohon bantuan rahmah ni,@haslina549,haslina549 ,0,3,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
putrajaya ade tak,@johorcheita,johorcheta ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
terima kasih 🙏,@rayenkaruniakanthan,rayen karunia kanthan ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
samalah mcm usaha sama kedai 1 msia dgn mydin.,@kumar60698360,kumar60698360 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
nasi + ayam + teh ais 1 jug = Rm4 😅,@piuwpiuw55,No one ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
😂😂😂,@myjamuishine,Mohd rahim Mohd rahim ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
tempat saya menu Rosmah rm6 termasuk air sirap karabaley,@zarulameen1,ZAROULAMINOFFICIAL ,0,1,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"Di Kucing, Sarawak tidak ada pun... Semakin mahal ada lah.. Bila lagi program ini diadakan di Kuching, Sarawak 😳😱🤔😔",@marianibujang791,Yani Bujang791 ,1,4,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Terima kasih macik RAHMAH,@joedeanz,joedeanz ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
smp bl blh bertahan hrg tu hrg brg mhl.klu nk msk sndri mkn siang mlm pun brg kena beli juga.,@hanimanieanies,hanimanieanies ,1,1,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
terbaik.semoga dpt membantu semua yg terkesan,@bossnana1210,Bossnana ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Good Good Good,@wanfairus1,Wan Fairus ,1,0,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Jb ada ke.. Klau ada pn rsanya mknn yg dh 3 hri 14 mlm dipanaskn😅,@mariberselawatnak,misssya_NSS ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
selamat tinggal nasi bujang..tq pmx,@panda_hijau,PANDA_HIJAU ,1,0,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"Menu rahmah ni utk B40 je kan, byg kan rm5 kali 4 org = rm20 tak termasuk air agak2 B40 nk ke mkn kat luar baik masak dpt seekor ayam",@miabracelet,Bracelet Malaysia ,0,2,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
tolongla buat dekat uni 😭😭,@ceoofmyselfff,Queen 🌹 ,2,1,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Baguih abg mydin ni dia mmg Ramah...pakat tolong rakyat marhaein na...,@roselahmuhamad,Roselah ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Selain mydin mano laie yg ado rahmah ni,@happyzul98,Hafizulhilmi ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
mydin bm hadir,@azamyeoh,A Y ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"@ajimbudakbaik @_n.riazy @kucingnomercy @seketulkemall
baik betul ustazah",@mirulzigzag,ziq ,2,1,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
ssuai pkeja sana...🥰🥰nak jimat..gaji sikit,@catmeowmiaw69,Adila Khan 69 ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Good job 👍👏👏👏 Mydin Sir.,@user8380310294272,user8380310294272 ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"Dimiri,sarawak ada ke?",@hannah_angel13,loveangel_scorpio ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Sabah ada ka buat bgni ..,@ainiabdullah76,Aini Abdullah ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Melaka ade,@reezrul87,Reezrul87 ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Well done .. continue for continual improvement,@molly_8286,Lucifer ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
tempat tertentu ja mana nak pegi maidin kat subang jaya tu,@adie_haidi,Adie ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"enjoy yourself
appreciate",@santhanadhasrayap,santhanadhasrayap ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
😅😅😅,@jasmadiomar,jasmadiomar ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"aku walaun nk makn boleh dk? lapar😭😭,aku janji aku undi ph pasni,aku dh insaf😢",@hargai336,theputra_ ,2,1,6h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
terima kasih,@anaramlan08,Ana Ramlan ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
😂😂😂🥰,@situnorahmarali,Situ Norah Marali ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
kt mne ni,@fuziahmohd1,fuziahmohd1 ,0,1,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"pi bli ikan KT market.skilo ikan dah brp,,.ayang skilo 11 ringgit..mmang lah murah..tpi org yg nk masak,nk jual Tu..",@sbrina1114,sbrina ,1,1,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
mcm mne nk tau kdai yg mne,@j0ngj0nginai,🅰️🅱️🅰️🆖cHik🤠 ,2,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Dia mcm kita beli durian. Memang tulis sekilo rm2. Tapi bila g tanya kata buah yg rm2 dah habis Atau buah yg boleh buat tempoyak je ha ha ha ha ha ha,@joekaduk81,joekaduk81 ,3,1,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Alhamdulillah,@adzjafizah,Adzja Fizah ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
ada kat area mana je? limited ke masa dia? kata kat 15k premis tapi kat mana🥺,@ch1zuruu,水hara ,1,1,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
👍👍👍,@user9272018497060,Aryano shop ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
woww 👍🏼👍🏼👍🏼☺️🙏🏼,@minsekarz1308,Min Sekar AziemahZie ,1,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
bila g sure yg duk makan pakai 1 phone 14pro he he,@m.jai74,jai74 ,3,1,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
sampai bile tuh,@ahfiezurasyardina94,Ahfiezurasyardina ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
hahah bole la tu g nanti @Azlinah Masrun,@iekah19,ieka_95 ,0,2,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"😁Nasik+sayur+telor mata ada lerr rm5,tapi kalau lauk ikan atau ayam belom pernah jumpa lagi rm5",@user1809738393,JOHARI JOHAN@JO ,2,1,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
🥰🥰🥰,@hatiygtersakiti451,kucing comel ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
alahai..dulu dikenali menu 1malaysia,@zalehajamaluddin9,zalehajamaluddin9 ,1,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
nasi student RM3 UiTM Shah Alam ada lg x 😁,@sygmui2,malaymui ,2,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"Kuala Terengganu dh buat 5 tahun lalu ,,, sekarang ada lagi x,,,,nasi muroh 😅😅😅😅😅",@normansanip15,Norman Sanip15 ,2,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Segamat ada ke,@jadamuni58,jadamuni58 ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
hanya untuk 5 bulan sahaja 😅,@en.deen,En Deen ,2,6,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
mydin mana n..kat kl ade tak,@abang_boroi_90,ABANG BOROI 🤢 ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
diharap buat la menu rahmah dengan sedap ye,@user2911400248961,. ,2,3,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
melaka ada tak,@zahirdarwisyah3,Zahir Darwisyah ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Alhamdulillah.. Syukur 🤲🤲,@noriahabdwahab,noriahabdwahab ,1,0,9h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Semalam kat tv3 dia ckp ayam dipotong 8.. Woww hebat ooo menu rm5 utk seketol ayam yg potong 8..,@abenohsem,Fahmy Nordin ,0,3,9h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"Kejap je ni, lama sikit nasi 3 butir ayam bahagian kepala sayur batang saja 😂",@aamy.nrdn,ᴀᴀᴍʏɴʀᴅɴ93🔥 ,3,0,9h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
menuuu wakkk zahidd,@anip261,Hanif Ambia ,0,0,9h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
TERBAIKKK,@habibihabib78,TehOKosong ,1,0,9h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
hey menteri quantity?,@user2900098001928,user2900098001928 ,2,0,10h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
kna ambik kad/boucer tok dptkan makanan dgn harga rm5.00,@akubknkau38,akubknkau38 ,0,0,10h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
😂,@raha_yuza,NuhaTvChannel ,0,0,10h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
😂😂😂😂😂 Lama mna😂,@__dedi7,_dEdi7 ,4,0,10h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
terbaik,@roziezizie935,Rozie Zizie935 ,1,0,10h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Terbaik,@latifahismail647,LIsmail ,0,0,24m ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Terbaik,@selat_avenue,SELAT AVENUE ,0,0,32m ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
mantapp,@hfzz.dn,hfzz.dn ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
👍terbaik,@thituschin,thituschin ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
ka mana itu,@abdulmohd72,Abdul72 ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
terbaik,@rkfiore,Rama@Krishnan ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Kari 😂,@youngsocceracademy,アルミ。アケミ ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
mahalnya,@dayangwakaka,tora tora ,1,0,9h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
atau hr promosi ja mcm supermarket tu?,@wawasan2020,TheRock ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
ada kt semua tmpt atau tmpt2 trtentu ja?,@wawasan2020,TheRock ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
menu rosmah berapa rm pulak? 😁,@bunga_iris7,Bunga iRis🌼 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
mahal gile menu ni.. nasi bajet baru 3 hengget😂,@pisang_panassss,gysjgps482akrhn415byp ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
"Bagus, nak Cuba.🥰🥰🥰",@mohdsani49,Mohd Sani150861 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
harap dapat berterusan.,@laiweng,wai ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
siap utk kena kencg lg.,@zmt8383,ZMT ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
🤲🤲🤲🤲🤲🤲,@muni1972ot,MUSIKA SIDNI JARI ASID ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
Yang undi PH menu rahmah rm 5.00. Yang undi PN dapat menu kak mah = rm 10.. Haha..,@apaceritageng,apaceritageng ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,7343,420,1415,2023-2-1
