comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
madani - malaysia anak bini🥰,@lyasz7,Muhd Ilyas ,403,13,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
madani......untuk anak dan bini😂😂😂😂,@user65601442,Reez Abdullah ,136,27,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Memang ptut dpt jawatan tinggi anak dia tuu. Tengok prjuangan mereka sekeluarga tak henti2. Lagi pun dari isteri sampai ke anak memang pandai/bijak.,@flexxy3k,PV・FLEXXY¹ ,716,109,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Abg non....saya ulanggg😂😂,@ziyadzihnih,ziyadzihnih ,38,1,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Hahahahahah makan kiri kanan dowhh,@amieyra.my,Amieyra.my ,33,5,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
2x5,@azamlymuhamad,azamlymuhamad ,35,0,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
"M=melantik
A=anak
D=datuk seri
A=anwar
N=nurul
I=izzah",@eeiykola,eeiy's ,298,11,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Tak abih2 umum tk ambek gaji😂pasnk bini plk,@paktam1990,Paktam90 ,547,42,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
"pmx..pm trbaik krn mngutamakan kluarga sblom owg lain..keutamaan
1.. bini
2..anak
3..mak
4..adik bradik
5..bru org
apa lagi..tepokkkk👏👏👏👏👏",@bondanaufal1,HATIKU CUMA ADA SATU💝 ,120,15,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
aku ingat ada game menteri kewangan plus perdana menteri... sekali tambah anak anwar,@eleyanosa,El Eyanosa ,44,5,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
mcm la adik lim guan eng dilantik sbg timb menteri pdidikan.kpm siap sediakn penerbangan sewa khas😁,@junefadhlinamonjo2,aufaa hannan ,118,5,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
my anak dan bini= MADANI,@yas_ser91,YAS_ser91 ,56,0,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
kronl juga,@m.khairatmanap,m.khairatmanap ,52,5,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
sap penasihat kiri plk 😂😂😂 cba teka sblum bocor😂😂😂,@hasrihasri09,Hasri Hasri ,36,6,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
ada keja tak mau gaji.semua tak ambik gaji,@semerahpadi363,ABG_SAYAP_BERDARAH🇲🇾 ,11,2,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Dunia depa punya 😌,@nadjira_ahmad,Nadjira Ahmad ,19,0,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Ini ini parahh ni ha ha ha 😅,@ed8139,ed8139 ,17,1,4d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
lama lagi nk 5 taun nokk,@lokimasam,lokimasam ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
"ouh manusia nie layak dapat jawatan dgn usaha dye selama nie...masa najib,mahathir xbole anak beranak...mantap",@moshi.ai,Mashi Moshi ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
@Dekliaa98 dsd 😆,@nornajeeha,Jeeha ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂😂😂😂😂,@mrkofairuz2930,MrkoFairuz2930 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂😂😂😂,@tehais143,abahsayang1 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Semoge dpermudhkn dsai.. Aamiin2,@baizuralee,Baizura lee ,1,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
yea ke xambk gji bkn rkyt thu pon ..mntri kwgn spe bpak dia kot😂😂klu bgi syp2 bkn rkyt thu pon bwk blik syp2 bgi kt rmh,@cikaz34,cikaz ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂adoi aje kamu,@pengemis_jalanan5,nuri🧕🏽 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😁😁😁🤣🤣😂,@user45773034187905,user45773034187905 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Semua boleh bila tanpa gaji ajee kan..,@axxyf.my,user3020283226210 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
mantapppp...udang Balik batu in real.. yg panas Akan terus panas.. hanya NURUL IZZAH mampu geledah pejabat kewangan ..padu strategy Kali ni.DSAI 👍,@qillasyuhadah,Qilla Syuhadah ,4,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
sama la..saya dah 10 tahun kerja..xpernah ambil gaji pun..😂😂😂😂,@hijaumerah18,hijaumerah18 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂😂,@indahnyesyurga,ADIKMANIS ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
"Harap ada juga dr kalangan pengarah jbtan2 dlm sektor kerajaan ikut cara mcm ni, lantik anak utk membantu tanpa gaji 😀",@alirazak540,alirazak540 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,@itsme_shuk,shuklegacy ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
plan family 😂😂😂😂😂,@norzielana240,norzielana😘 ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
"alang2 baik jawatan smua bg kt sdara mara truss,sng,pkcik sdara,mak sdra,ank buah,cucu cicit..",@apizzhask,apizzhask 🇲🇾🇹🇭🇵🇭🇲🇨 ,1,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Allah jer tahu,@cikpuanlynnbutiks,Cikpuanlynnbutiks ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
❤❤❤,@zackzaidi6,Zack Zaidi ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
family 1st,@pakyus49,Atan49 ,1,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
hadir support,@babyshop_88,BABY SHOP ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😏😏😏😏😏,@rozimeng66,Rozi Meng ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Allahumma Solli A'laa Saiyyidina Muhammad💚,@wankawaa,jirancristianoronaldo ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂,@mathaver,boy ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
sape2 pun jd PM mesti akan ada utamakan anak beranak dulu...,@ha_malaya,D_Orthoman ,2,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
cuba buka kes yg kerajaan pn bt,@okkayo114,okkayo114 ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Dia layak dan patut sebab banyak bekorban DSAI THE BEST,@naprilnaj,Najie Rahman ,2,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂😂😂😂😂,@wariamn,Az ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
xabih2 xde gaji..mcm. kita dok dlm utan smua xtaw😂,@wankutu,wankotu ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
Okay la tu.Bapak die bijak kendalikan hal2 ekonomi die ajar anak die plk. Insyaallah baik2 saje.,@fiqriwho,Fiqri who? ,2,2,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😳,@zhulianguarchempe,zhulianguarchempe ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
layak dapat jawatan. .dgn usaha dia slma ini,@stanlynyipa,stanlynyipa ,1,0,2d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
😂😂😂,@banzai371,Azwan Wan ,0,0,3d ago ,2023-02-03,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.5K,1897,663,2023-1-30
